"","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"81","CSCI_DS_Dur_WS_0.92_Negative",-31.7893514972252,-10.3940686683819,-1.47261758405329,230,"Negative","CSCI","CSCI",0.92,"DS_Dur_WS"
"82","CSCI_DS_Mag_50_0.92_Negative",-0.0821274854644594,-0.0267171174611112,-0.00266804375016547,151,"Negative","CSCI","CSCI",0.92,"DS_Mag_50"
"83","CSCI_DS_Mag_90_0.92_Negative",-0.152911313438347,-0.0495691793607685,-0.00494038074995544,175,"Negative","CSCI","CSCI",0.92,"DS_Mag_90"
"84","CSCI_DS_Tim_0.92_Negative",-19.7223857269347,-6.5935478743476,-1.10042841157599,250,"Negative","CSCI","CSCI",0.92,"DS_Tim"
"85","CSCI_FA_Dur_0.92_Negative",-5.18161005307472,-2.0364403032063,-0.652896969883943,22,"Negative","CSCI","CSCI",0.92,"FA_Dur"
"86","CSCI_FA_Mag_0.92_Negative",-36.2690473280675,-46.4097502112581,-50.966377026085,7,"Negative","CSCI","CSCI",0.92,"FA_Mag"
"87","CSCI_FA_Tim_0.92_Negative",-10.2676644953784,-3.58581038624304,-0.806603045400378,31,"Negative","CSCI","CSCI",0.92,"FA_Tim"
"88","CSCI_Q99_0.92_Negative",-0.0153127216504306,-0.00515953683321643,-0.000524018884309421,105,"Negative","CSCI","CSCI",0.92,"Q99"
"89","CSCI_SP_Dur_0.92_Negative",-23.7004061424274,-7.80613813233426,-1.21703943808151,251,"Negative","CSCI","CSCI",0.92,"SP_Dur"
"90","CSCI_SP_Mag_0.92_Negative",-1.29495102109391,-0.426391368001173,-0.0428749161731851,138,"Negative","CSCI","CSCI",0.92,"SP_Mag"
"91","CSCI_SP_ROC_0.92_Negative",-0.211362504849789,-0.0687966927732667,-0.00681248262682529,206,"Negative","CSCI","CSCI",0.92,"SP_ROC"
"92","CSCI_SP_Tim_0.92_Negative",-29.2606385937111,-9.5338576521782,-1.38361485153039,102,"Negative","CSCI","CSCI",0.92,"SP_Tim"
"93","CSCI_Wet_BFL_Dur_0.92_Negative",-13.3003436953144,-4.63663213377425,-0.91148883063834,106,"Negative","CSCI","CSCI",0.92,"Wet_BFL_Dur"
"94","CSCI_Wet_BFL_Mag_10_0.92_Negative",-0.86017940099964,-0.269348160272002,-0.0263775677417539,223,"Negative","CSCI","CSCI",0.92,"Wet_BFL_Mag_10"
"95","CSCI_Wet_BFL_Mag_50_0.92_Negative",-0.997083876975098,-0.308500060000963,-0.0300586319327636,213,"Negative","CSCI","CSCI",0.92,"Wet_BFL_Mag_50"
"96","CSCI_Wet_Tim_0.92_Negative",-10.8294471363868,-3.71777913385702,-0.814753555395758,261,"Negative","CSCI","CSCI",0.92,"Wet_Tim"
